ride_id,timestamp,origin_lat,origin_lon,dest_lat,dest_lon,vehicle_type,trip_distance,trip_duration,fare,hour,day_of_week,is_rush_hour
R000016,2024-01-02 03:09:40,40.696702,-73.979214,40.704734,-73.983,economy,0.95,1.22,3.12,3,1,0
R000017,2024-01-20 14:33:16,40.751473,-73.978269,40.724806,-73.972569,economy,3.0,5.69,8.01,14,5,0
R000018,2024-01-24 03:43:56,40.74813,-74.002459,40.71929,-74.037638,economy,4.37,5.87,7.05,3,2,0
R000019,2024-01-14 05:29:00,40.741421,-73.973534,40.668426,-74.005033,economy,8.54,14.66,16.79,5,6,0
R000020,2024-01-17 05:32:58,40.721086,-74.040011,40.752662,-74.021912,sedan,3.83,7.8,13.63,5,2,0
R000021,2024-01-07 04:23:48,40.734088,-73.991372,40.75442,-74.02834,economy,3.85,4.35,6.73,4,6,0
R000022,2024-01-04 11:56:53,40.693436,-74.04768,40.688101,-74.013684,suv,2.93,5.38,15.24,11,3,0
R000023,2024-01-03 02:46:31,40.680841,-74.006949,40.756509,-74.029215,sedan,8.62,11.53,19.61,2,2,0
R000024,2024-01-05 04:42:30,40.689187,-73.985461,40.704814,-73.988009,suv,1.75,2.43,9.4,4,4,0
R000025,2024-01-30 17:48:46,40.675926,-73.975823,40.69667,-74.034213,economy,5.44,21.96,22.83,17,1,1
R000026,2024-01-22 20:23:28,40.728781,-74.049507,40.713888,-74.030615,economy,2.3,4.11,6.64,20,0,0
R000027,2024-01-03 10:01:37,40.729984,-74.016194,40.752106,-74.038623,economy,3.1,5.72,7.81,10,2,0
R000028,2024-01-23 20:03:14,40.736868,-73.997154,40.74135,-74.001032,economy,0.6,1.0,3.55,20,1,0
R000029,2024-01-08 08:42:31,40.689099,-74.022091,40.698313,-74.019571,suv,1.05,3.72,12.5,8,0,1
R000030,2024-01-19 15:15:50,40.747638,-73.980811,40.725583,-74.043427,economy,5.82,11.98,12.61,15,4,0
R000031,2024-01-22 13:22:27,40.668256,-74.036527,40.717186,-73.988729,economy,6.77,11.93,14.67,13,0,0
R000032,2024-01-21 20:06:03,40.731896,-74.029648,40.738593,-73.995103,economy,3.0,6.59,8.25,20,6,0
R000033,2024-01-07 17:28:08,40.726985,-73.999852,40.686573,-74.029769,suv,5.15,17.6,38.39,17,6,1
R000034,2024-01-03 14:51:55,40.755371,-74.015621,40.734183,-73.986864,suv,3.38,6.34,17.83,14,2,0
R000035,2024-01-30 07:10:26,40.719721,-74.006673,40.700928,-73.985286,suv,2.76,8.32,21.38,7,1,1
R000036,2024-01-06 12:00:24,40.696683,-73.97743,40.700166,-73.981364,economy,0.51,1.0,3.15,12,5,0
R000037,2024-01-10 06:03:37,40.744402,-74.022477,40.72387,-74.042229,economy,2.83,5.75,7.76,6,2,0
R000038,2024-01-19 15:32:58,40.719106,-74.042254,40.733091,-73.996715,suv,4.14,8.04,19.92,15,4,0
R000039,2024-01-03 19:04:43,40.730531,-73.987776,40.700154,-74.024577,suv,4.59,18.08,39.24,19,2,1
R000040,2024-01-19 07:37:38,40.735375,-73.971736,40.739647,-73.992503,sedan,1.81,6.13,12.37,7,4,1
R000041,2024-01-17 10:59:16,40.721224,-74.032205,40.693936,-73.982184,economy,5.19,9.89,11.75,10,2,0
R000042,2024-01-21 09:29:20,40.709704,-74.002162,40.693589,-73.997825,economy,1.83,6.27,9.01,9,6,1
R000043,2024-01-20 18:06:04,40.679235,-74.003998,40.737099,-74.031576,economy,6.84,25.37,27.78,18,5,1
R000044,2024-01-12 02:56:15,40.688028,-74.029258,40.716457,-73.993631,sedan,4.36,4.17,10.51,2,4,0
R000045,2024-01-10 19:51:41,40.739367,-74.026625,40.707307,-74.043939,sedan,3.85,13.87,25.01,19,2,1
R000046,2024-01-30 21:06:56,40.726799,-73.992673,40.681879,-74.028478,sedan,5.84,11.77,19.09,21,1,0
R000047,2024-01-05 08:18:38,40.716496,-74.031411,40.733411,-74.030838,sedan,1.88,4.92,11.23,8,4,1
R000048,2024-01-09 01:05:40,40.699838,-73.982794,40.735019,-73.987127,economy,3.93,4.99,6.95,1,1,0
R000049,2024-01-05 20:16:10,40.712045,-74.008388,40.683388,-74.011953,economy,3.2,7.45,7.96,20,4,0
R000050,2024-01-01 03:04:56,40.724958,-74.046923,40.740006,-73.998179,sedan,4.43,5.94,11.09,3,0,0
R000051,2024-01-19 17:09:27,40.717892,-74.033689,40.733795,-73.994001,suv,3.78,14.29,31.78,17,4,1
R000052,2024-01-07 21:15:42,40.698368,-73.977689,40.702735,-73.993104,sedan,1.39,2.89,6.45,21,6,0
R000053,2024-01-30 07:55:10,40.752532,-74.016251,40.754307,-73.969518,suv,3.94,13.68,27.32,7,1,1
R000054,2024-01-01 05:47:59,40.696759,-73.983465,40.743839,-74.048906,suv,7.6,13.42,32.02,5,0,0
R000055,2024-01-26 07:17:10,40.678435,-73.988294,40.737298,-73.989464,suv,6.55,23.89,44.67,7,4,1
R000056,2024-01-08 06:52:58,40.693183,-74.03503,40.691536,-74.022948,economy,1.03,2.07,4.39,6,0,0
R000057,2024-01-22 06:25:21,40.739188,-73.993958,40.698472,-73.967232,economy,5.06,9.89,12.17,6,0,0
R000058,2024-01-21 16:25:43,40.735378,-73.983091,40.677081,-73.96977,suv,6.58,13.95,28.45,16,6,0
R000059,2024-01-04 08:11:37,40.696604,-73.970403,40.734421,-73.991651,sedan,4.57,14.24,23.32,8,3,1
R000060,2024-01-12 23:50:20,40.724665,-74.01064,40.694189,-74.02142,economy,3.51,5.48,6.95,23,4,0
R000061,2024-01-29 18:12:16,40.700921,-73.977858,40.687739,-74.030486,economy,4.67,18.83,19.94,18,0,1
R000062,2024-01-03 21:58:21,40.707538,-73.971107,40.699382,-74.040464,economy,5.92,12.32,12.92,21,2,0
R000063,2024-01-29 09:32:19,40.72344,-74.041899,40.674349,-73.977033,economy,7.73,26.51,25.94,9,0,1
R000064,2024-01-22 12:43:47,40.675435,-73.962202,40.701484,-74.017642,economy,5.5,10.21,12.03,12,0,0
R000065,2024-01-18 00:19:18,40.724355,-74.028623,40.70598,-73.969428,economy,5.39,7.53,8.53,0,3,0
R000066,2024-01-07 16:30:50,40.668822,-74.008821,40.672867,-74.040306,economy,2.69,5.56,7.09,16,6,0
R000067,2024-01-03 09:32:42,40.734944,-73.998497,40.687256,-74.023991,sedan,5.72,18.87,27.2,9,2,1
R000068,2024-01-08 06:09:01,40.69892,-73.980937,40.674442,-74.001153,sedan,3.21,5.52,11.77,6,0,0
R000069,2024-01-15 13:56:40,40.724446,-73.988383,40.708709,-73.99452,economy,1.82,3.97,5.93,13,0,0
R000070,2024-01-13 07:09:41,40.67189,-74.025713,40.753337,-73.970876,suv,10.17,41.83,64.04,7,5,1
R000071,2024-01-29 03:49:27,40.693601,-73.983997,40.677181,-74.028629,suv,4.18,5.07,14.5,3,0,0
R000072,2024-01-04 14:08:51,40.755496,-73.962241,40.730635,-74.002751,sedan,4.39,8.24,14.28,14,3,0
R000073,2024-01-11 14:39:52,40.729426,-74.036364,40.749783,-73.976972,sedan,5.49,8.17,18.18,14,3,0
R000074,2024-01-18 14:57:10,40.751746,-73.973054,40.67187,-74.048627,economy,10.93,24.44,22.41,14,3,0
R000075,2024-01-08 20:17:49,40.756655,-74.037462,40.721272,-74.01672,economy,4.31,8.51,10.85,20,0,0
R000076,2024-01-15 02:45:18,40.714828,-74.038997,40.732826,-73.990765,economy,4.53,6.06,8.05,2,0,0
R000077,2024-01-08 12:44:09,40.708349,-74.039376,40.698401,-73.978428,economy,5.26,11.26,11.5,12,0,0
R000078,2024-01-15 13:03:13,40.723432,-74.018765,40.734462,-73.994742,suv,2.37,5.13,13.56,13,0,0
R000079,2024-01-25 18:24:30,40.728696,-74.035662,40.708104,-73.972223,suv,5.82,21.27,47.46,18,3,1
R000080,2024-01-27 13:34:47,40.679861,-74.04841,40.735762,-73.995172,suv,7.67,12.99,31.71,13,5,0
R000081,2024-01-16 07:17:27,40.680073,-74.049691,40.703092,-73.989794,sedan,5.66,15.4,23.18,7,1,1
R000082,2024-01-27 14:58:08,40.749174,-74.019657,40.714059,-73.980471,suv,5.11,11.15,21.75,14,5,0
R000083,2024-01-19 18:42:01,40.689283,-73.981278,40.69972,-73.981163,economy,1.16,3.68,7.46,18,4,1
R000084,2024-01-09 12:20:13,40.724806,-74.029387,40.699633,-73.985699,economy,4.63,8.78,10.12,12,1,0
R000085,2024-01-27 13:16:53,40.732487,-73.986224,40.72788,-74.035491,economy,4.18,7.92,9.5,13,5,0
R000086,2024-01-12 07:41:04,40.683731,-74.043017,40.678657,-74.00953,sedan,2.88,8.39,14.72,7,4,1
R000087,2024-01-08 06:53:01,40.713108,-73.988864,40.694301,-73.97993,sedan,2.22,3.77,8.91,6,0,0
R000088,2024-01-19 06:29:44,40.725871,-74.032212,40.730147,-73.993879,sedan,3.26,5.44,10.22,6,4,0
R000089,2024-01-06 09:06:37,40.715224,-74.029166,40.709428,-73.983728,suv,3.88,13.86,28.57,9,5,1
R000090,2024-01-13 12:45:12,40.703194,-74.020402,40.72216,-74.040778,suv,2.72,4.28,14.08,12,5,0
R000091,2024-01-20 03:50:36,40.692032,-74.017044,40.694567,-73.986408,sedan,2.6,3.64,8.05,3,5,0
R000092,2024-01-03 16:41:21,40.69776,-73.9736,40.675623,-74.00266,economy,3.47,8.0,9.31,16,2,0
R000093,2024-01-12 20:57:53,40.706649,-74.039518,40.683422,-74.032914,sedan,2.64,4.95,11.21,20,4,0
R000094,2024-01-21 08:39:51,40.699849,-73.962214,40.72232,-74.02965,economy,6.21,20.9,20.57,8,6,1
R000095,2024-01-27 23:37:17,40.684838,-74.03032,40.683404,-73.970291,economy,5.06,7.12,8.22,23,5,0
R000096,2024-01-29 14:15:48,40.704736,-73.962586,40.677884,-74.015193,economy,5.35,10.08,12.39,14,0,0
R000097,2024-01-01 15:54:20,40.690305,-74.030888,40.723297,-74.032243,economy,3.67,6.12,8.98,15,0,0
R000098,2024-01-29 19:44:56,40.729487,-73.988147,40.696931,-74.012711,economy,4.17,13.97,17.58,19,0,1
R000099,2024-01-08 23:26:31,40.678135,-73.996044,40.700993,-73.989308,sedan,2.6,3.1,7.09,23,0,0
R000100,2024-01-16 14:50:01,40.684541,-74.025763,40.698094,-74.038903,economy,1.87,4.12,5.81,14,1,0
R000101,2024-01-22 18:23:30,40.690718,-73.989665,40.725449,-74.028792,economy,5.08,15.29,18.99,18,0,1
R000102,2024-01-15 08:19:16,40.690685,-74.027015,40.698233,-73.981778,economy,3.91,15.7,15.66,8,0,1
R000103,2024-01-19 16:38:18,40.68038,-73.979426,40.685946,-74.036271,economy,4.83,10.05,11.08,16,4,0
R000104,2024-01-12 05:19:00,40.727668,-74.003924,40.737156,-73.99263,suv,1.42,2.98,9.84,5,4,0
R000105,2024-01-18 09:44:08,40.707322,-74.017075,40.709441,-74.023876,economy,0.62,2.24,5.52,9,3,1
R000106,2024-01-01 18:18:30,40.688699,-73.970038,40.736947,-74.002056,economy,6.01,24.59,26.61,18,0,1
R000107,2024-01-28 15:07:52,40.690407,-73.975281,40.734492,-73.993076,economy,5.13,10.9,13.28,15,6,0
R000108,2024-01-26 18:19:05,40.74825,-73.980026,40.695503,-73.985249,sedan,5.88,21.84,32.77,18,4,1
R000109,2024-01-26 19:14:49,40.670818,-73.99971,40.736421,-73.972091,economy,7.66,33.81,31.91,19,4,1
R000110,2024-01-28 18:27:19,40.677757,-73.974819,40.731451,-73.995894,suv,6.23,22.32,48.5,18,6,1
R000111,2024-01-07 20:13:16,40.688433,-73.985997,40.692148,-74.019222,sedan,2.83,5.05,11.62,20,6,0
R000112,2024-01-06 00:26:28,40.690462,-74.019887,40.684144,-73.969239,economy,4.33,4.98,7.9,0,5,0
R000113,2024-01-10 22:18:44,40.709381,-73.965744,40.6892,-74.031627,suv,5.99,13.98,27.14,22,2,0
R000114,2024-01-26 20:37:42,40.66943,-73.972509,40.733347,-73.987371,sedan,7.22,12.97,21.92,20,4,0
R000115,2024-01-21 04:58:17,40.731451,-74.037271,40.69721,-74.019273,sedan,4.1,5.7,10.26,4,6,0
R000116,2024-01-20 23:52:36,40.751893,-73.967699,40.708376,-74.040809,economy,7.83,11.03,12.83,23,5,0
R000117,2024-01-10 22:25:17,40.721015,-74.01509,40.672729,-74.020832,economy,5.39,9.69,10.89,22,2,0
R000118,2024-01-02 13:47:20,40.716166,-73.968213,40.68135,-74.032475,suv,6.66,12.07,29.99,13,1,0
R000119,2024-01-27 18:37:01,40.688014,-74.01028,40.680477,-74.035125,economy,2.26,6.59,10.75,18,5,1
R000120,2024-01-02 05:30:33,40.750136,-74.018385,40.720053,-73.994096,economy,3.92,7.63,8.97,5,1,0
R000121,2024-01-19 13:40:52,40.675481,-73.961281,40.735667,-74.035704,economy,9.17,18.37,19.0,13,4,0
R000122,2024-01-11 21:06:54,40.69879,-73.981722,40.686263,-74.033838,economy,4.61,9.19,10.49,21,3,0
R000123,2024-01-13 17:02:29,40.719236,-74.035468,40.696525,-73.97348,suv,5.8,15.99,43.51,17,5,1
R000124,2024-01-27 00:42:55,40.703869,-74.000632,40.681772,-74.034626,economy,3.78,4.54,6.45,0,5,0
R000125,2024-01-12 19:48:31,40.72576,-74.014214,40.670085,-74.036946,economy,6.48,28.35,29.96,19,4,1
R000126,2024-01-18 04:59:18,40.670239,-74.031023,40.688597,-73.99053,economy,3.98,5.28,7.26,4,3,0
R000127,2024-01-21 19:51:15,40.726547,-74.029564,40.731598,-73.992874,sedan,3.14,11.54,21.12,19,6,1
R000128,2024-01-03 07:53:58,40.730995,-73.985203,40.727928,-74.032551,economy,4.0,15.27,15.21,7,2,1
R000129,2024-01-30 22:18:32,40.66897,-74.043304,40.68651,-74.048612,economy,2.0,4.13,5.76,22,1,0
R000130,2024-01-16 07:29:35,40.69242,-74.026925,40.74137,-74.020236,sedan,5.47,15.7,23.72,7,1,1
R000131,2024-01-29 04:55:04,40.690017,-73.97797,40.716398,-74.027226,sedan,5.08,4.83,12.66,4,0,0
R000132,2024-01-10 23:19:53,40.694302,-73.965639,40.736525,-74.03839,economy,7.72,10.77,12.66,23,2,0
R000133,2024-01-05 14:34:30,40.698371,-73.980248,40.706069,-74.048978,economy,5.86,12.07,12.03,14,4,0
R000134,2024-01-07 22:15:36,40.691059,-73.977284,40.698654,-73.98192,sedan,0.93,1.6,5.92,22,6,0
R000135,2024-01-26 12:24:42,40.683251,-74.026492,40.669455,-73.968713,economy,5.11,10.42,11.18,12,4,0
R000136,2024-01-02 04:32:37,40.734841,-73.999513,40.726428,-73.976323,economy,2.17,3.11,5.06,4,1,0
R000137,2024-01-17 14:00:46,40.696127,-74.020928,40.713596,-74.042398,economy,2.65,4.98,7.19,14,2,0
R000138,2024-01-23 12:41:05,40.682766,-73.984577,40.675252,-73.996716,suv,1.32,2.33,8.8,12,1,0
R000139,2024-01-13 10:40:45,40.693782,-74.018989,40.732514,-74.024259,sedan,4.33,6.72,15.82,10,5,0
R000140,2024-01-20 02:15:40,40.72753,-73.966685,40.683508,-74.022498,sedan,6.79,7.68,15.13,2,5,0
R000141,2024-01-14 03:48:40,40.712473,-73.997284,40.693546,-74.029516,sedan,3.44,4.11,9.87,3,6,0
R000142,2024-01-29 00:02:20,40.729756,-74.011866,40.726339,-74.038812,economy,2.3,3.43,5.28,0,0,0
R000143,2024-01-08 16:26:36,40.692293,-73.997879,40.684164,-74.027238,economy,2.64,5.23,7.46,16,0,0
R000144,2024-01-28 12:39:43,40.688689,-74.032677,40.724701,-74.032947,economy,4.0,8.46,10.37,12,6,0
R000145,2024-01-22 00:57:51,40.730105,-73.974572,40.687449,-74.034305,economy,6.92,10.1,11.18,0,0,0
R000146,2024-01-12 18:19:40,40.684052,-73.999885,40.750194,-74.047945,economy,8.4,29.95,34.05,18,4,1
R000147,2024-01-10 06:24:54,40.750996,-73.963605,40.722602,-74.032592,sedan,6.61,11.37,19.98,6,2,0
R000148,2024-01-23 09:01:53,40.696519,-73.976398,40.733281,-73.993311,suv,4.33,13.98,29.2,9,1,1
R000149,2024-01-24 15:53:57,40.674726,-73.988334,40.698389,-73.985771,economy,2.64,5.18,7.06,15,2,0
R000150,2024-01-26 11:14:40,40.730035,-74.035017,40.696488,-73.99467,sedan,5.05,8.88,16.86,11,4,0
R000151,2024-01-22 21:53:08,40.688766,-74.048804,40.746109,-74.049086,sedan,6.38,11.02,20.42,21,0,0
R000152,2024-01-10 14:02:37,40.685214,-74.018953,40.734294,-74.037814,economy,5.68,10.86,13.49,14,2,0
R000153,2024-01-14 05:12:08,40.705722,-73.984618,40.68929,-74.041057,economy,5.1,8.82,10.75,5,6,0
R000154,2024-01-17 08:53:10,40.692779,-73.984839,40.671588,-74.049391,economy,5.93,21.28,21.05,8,2,1
R000155,2024-01-28 10:51:07,40.702389,-73.989832,40.692722,-74.02707,suv,3.32,6.19,16.94,10,6,0
R000156,2024-01-24 21:25:54,40.723007,-74.035967,40.698632,-73.978538,economy,5.55,11.42,14.13,21,2,0
R000157,2024-01-18 03:29:23,40.68856,-74.035112,40.737963,-74.019489,sedan,5.65,7.74,13.03,3,3,0
R000158,2024-01-12 03:43:14,40.730442,-74.037149,40.741225,-74.0308,suv,1.31,1.76,6.77,3,4,0
R000159,2024-01-11 19:14:41,40.705538,-73.972021,40.676034,-73.972029,economy,3.28,12.32,14.9,19,3,1
R000160,2024-01-14 03:08:02,40.747787,-73.964991,40.699229,-73.979328,economy,5.53,8.26,10.23,3,6,0
R000161,2024-01-08 17:08:24,40.675629,-74.014239,40.701342,-74.027622,sedan,3.07,10.5,21.63,17,0,1
R000162,2024-01-18 13:37:47,40.675094,-74.031184,40.729293,-74.044148,sedan,6.12,10.48,19.83,13,3,0
R000163,2024-01-27 15:39:26,40.711053,-73.997683,40.720353,-74.030779,economy,2.97,6.36,8.71,15,5,0
R000164,2024-01-15 07:54:23,40.72572,-74.037796,40.739568,-73.991739,suv,4.18,15.25,30.74,7,0,1
R000165,2024-01-12 01:25:17,40.738133,-73.985154,40.723475,-73.983256,sedan,1.64,1.93,5.82,1,4,0
R000166,2024-01-03 21:13:41,40.697961,-73.984084,40.682268,-73.977383,economy,1.83,3.68,6.18,21,2,0
R000167,2024-01-11 07:08:50,40.668375,-74.025167,40.688755,-74.025768,sedan,2.27,6.04,13.48,7,3,1
R000168,2024-01-27 07:21:49,40.736027,-73.980184,40.686261,-74.024904,suv,6.7,23.16,46.73,7,5,1
R000169,2024-01-18 08:51:11,40.732324,-73.989605,40.725839,-74.035067,sedan,3.9,11.49,19.84,8,3,1
R000170,2024-01-08 18:20:01,40.738168,-73.996133,40.698465,-73.984501,sedan,4.52,17.36,25.75,18,0,1
R000171,2024-01-24 02:30:28,40.671917,-73.972562,40.755414,-73.963801,economy,9.31,12.31,14.16,2,2,0
R000172,2024-01-17 07:39:02,40.736044,-74.048787,40.669791,-74.021875,sedan,7.71,27.51,36.77,7,2,1
R000173,2024-01-10 14:41:01,40.695024,-73.971594,40.692426,-73.961259,economy,0.92,1.57,3.62,14,2,0
R000174,2024-01-04 15:45:58,40.682526,-73.979467,40.730231,-74.031131,economy,6.86,14.06,14.53,15,3,0
R000175,2024-01-05 02:08:17,40.726706,-74.026407,40.753378,-74.037405,sedan,3.11,3.97,8.5,2,4,0
R000176,2024-01-13 19:33:18,40.705575,-73.993533,40.703583,-74.026321,economy,2.77,11.04,13.88,19,5,1
R000177,2024-01-23 03:54:41,40.748269,-74.030304,40.686979,-74.048198,sedan,6.98,7.33,16.29,3,1,0
R000178,2024-01-07 13:28:56,40.722389,-74.030414,40.754937,-74.034303,economy,3.63,7.52,9.32,13,6,0
R000179,2024-01-24 03:20:27,40.725649,-74.033761,40.691014,-74.019354,sedan,4.04,4.94,10.56,3,2,0
R000180,2024-01-16 02:05:53,40.697351,-73.973799,40.719418,-74.026995,sedan,5.11,6.11,11.25,2,1,0
R000181,2024-01-18 01:37:35,40.673579,-73.998623,40.692009,-73.97922,economy,2.62,3.51,4.85,1,3,0
R000182,2024-01-28 21:48:27,40.668846,-74.04448,40.703124,-74.007806,suv,4.91,7.75,21.95,21,6,0
R000183,2024-01-20 09:22:06,40.730348,-73.973589,40.692965,-73.981239,economy,4.21,15.14,14.81,9,5,1
R000184,2024-01-04 11:54:35,40.730317,-74.031613,40.718168,-74.050121,sedan,2.06,3.61,7.77,11,3,0
R000185,2024-01-28 17:49:52,40.675708,-74.019444,40.670788,-74.043928,sedan,2.14,6.59,14.76,17,6,1
R000186,2024-01-20 21:53:44,40.696788,-74.022796,40.719944,-74.033137,suv,2.72,5.81,15.38,21,5,0
R000187,2024-01-12 00:11:55,40.698098,-73.984235,40.736291,-73.989033,economy,4.27,6.51,7.9,0,4,0
R000188,2024-01-17 06:24:26,40.698351,-73.977666,40.729387,-74.035012,sedan,5.94,12.29,18.45,6,2,0
R000189,2024-01-25 18:38:05,40.715176,-73.985157,40.729543,-73.993419,sedan,1.74,5.78,13.71,18,3,1
R000190,2024-01-09 14:42:27,40.755628,-74.020679,40.684191,-73.979927,economy,8.65,17.27,20.0,14,1,0
R000191,2024-01-25 16:07:22,40.717783,-73.986272,40.69799,-73.9804,sedan,2.26,4.1,8.73,16,3,0
R000192,2024-01-10 01:14:25,40.674298,-74.048241,40.686513,-74.034343,economy,1.79,2.61,4.49,1,2,0
R000193,2024-01-07 04:48:16,40.730384,-73.98313,40.691671,-73.988322,economy,4.33,6.19,8.04,4,6,0
R000194,2024-01-13 17:45:14,40.707275,-73.985727,40.7116,-73.972392,sedan,1.22,4.12,11.51,17,5,1
R000195,2024-01-03 12:55:47,40.736062,-73.998882,40.749913,-74.03204,economy,3.19,7.32,9.11,12,2,0
R000196,2024-01-11 18:27:36,40.73378,-74.039159,40.732224,-73.969187,economy,5.9,22.29,23.58,18,3,1
R000197,2024-01-13 00:20:10,40.755226,-74.034712,40.744695,-74.006695,sedan,2.63,3.33,7.52,0,5,0
R000198,2024-01-30 11:05:27,40.707877,-74.004666,40.703544,-73.989699,sedan,1.35,2.23,6.44,11,1,0
R000199,2024-01-13 09:47:21,40.681327,-74.020196,40.730461,-73.989267,sedan,6.05,18.59,29.06,9,5,1
R000200,2024-01-07 11:22:46,40.689045,-74.044385,40.683078,-74.00422,economy,3.45,7.59,8.7,11,6,0
R000201,2024-01-04 04:16:12,40.680017,-74.028141,40.723343,-73.98739,sedan,5.92,6.85,13.28,4,3,0
R000202,2024-01-06 20:31:29,40.6711,-73.984724,40.727542,-74.008283,economy,6.58,13.67,14.81,20,5,0
R000203,2024-01-30 18:41:40,40.720482,-73.972856,40.721505,-74.036982,economy,5.41,21.47,23.1,18,1,1
R000204,2024-01-03 15:28:40,40.726438,-74.03574,40.671341,-74.04001,economy,6.14,13.17,13.76,15,2,0
R000205,2024-01-03 09:29:28,40.723193,-74.045991,40.671542,-74.037649,economy,5.79,22.74,21.51,9,2,1
R000206,2024-01-28 02:39:38,40.708727,-74.004596,40.711796,-73.990982,sedan,1.2,1.6,4.77,2,6,0
R000207,2024-01-26 23:57:02,40.685967,-73.990391,40.755092,-74.042549,sedan,8.85,9.96,20.53,23,4,0
R000208,2024-01-11 19:30:32,40.731847,-73.989913,40.730136,-73.97557,sedan,1.22,4.26,11.31,19,3,1
R000209,2024-01-27 10:45:05,40.712546,-73.995394,40.688805,-74.020747,sedan,3.4,6.47,12.92,10,5,0
R000210,2024-01-15 16:33:39,40.725994,-74.041715,40.703248,-73.992389,economy,4.87,10.03,10.92,16,0,0
R000211,2024-01-25 10:43:38,40.722479,-74.034356,40.734407,-73.98889,sedan,4.05,8.07,14.34,10,3,0
R000212,2024-01-13 09:16:46,40.746866,-74.014627,40.697233,-73.990917,sedan,5.87,19.19,29.26,9,5,1
R000213,2024-01-05 10:05:37,40.739603,-74.011798,40.741405,-74.040181,economy,2.4,4.72,6.8,10,4,0
R000214,2024-01-21 22:42:25,40.727319,-73.9982,40.705773,-73.985235,sedan,2.63,4.07,8.8,22,6,0
R000215,2024-01-11 04:42:44,40.689179,-74.017407,40.688254,-74.044412,sedan,2.28,3.18,7.46,4,3,0
R000216,2024-01-17 02:41:42,40.723554,-74.009286,40.727709,-74.037624,economy,2.43,2.55,5.51,2,2,0
R000217,2024-01-07 10:49:31,40.680852,-74.034227,40.727913,-74.023801,sedan,5.31,10.36,17.68,10,6,0
R000218,2024-01-04 16:49:34,40.740969,-73.986369,40.753797,-74.049359,economy,5.49,11.82,12.82,16,3,0
R000219,2024-01-11 19:08:38,40.688321,-74.026313,40.711528,-74.02789,economy,2.58,9.31,11.9,19,3,1
R000220,2024-01-12 21:46:15,40.740072,-74.002475,40.695818,-73.99607,sedan,4.95,7.65,16.2,21,4,0
R000221,2024-01-26 14:14:34,40.692888,-73.982123,40.684103,-73.989699,economy,1.17,2.36,4.3,14,4,0
R000222,2024-01-22 18:28:29,40.731614,-74.041381,40.718858,-74.027909,sedan,1.82,6.22,14.27,18,0,1
R000223,2024-01-14 05:52:12,40.740339,-74.00148,40.723426,-74.038147,economy,3.62,7.32,9.28,5,6,0
R000224,2024-01-16 11:35:59,40.733044,-73.990797,40.68429,-74.029315,economy,6.32,10.87,14.51,11,1,0
R000225,2024-01-29 16:09:53,40.743388,-73.969998,40.699608,-74.029682,economy,7.0,12.99,15.46,16,0,0
R000226,2024-01-15 11:59:01,40.741835,-74.012864,40.719433,-74.034605,economy,3.09,5.67,8.76,11,0,0
R000227,2024-01-03 11:14:01,40.726862,-73.989451,40.734119,-73.973348,sedan,1.58,2.66,7.36,11,2,0
R000228,2024-01-26 04:08:02,40.698019,-73.981735,40.722438,-74.001797,economy,3.2,4.23,5.67,4,4,0
R000229,2024-01-23 15:28:39,40.732359,-73.978101,40.683782,-74.017804,sedan,6.35,12.72,19.47,15,1,0
